city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3366880,Hermanus,ZA,-34.42,19.23,09/28/20,            54,90,11,10.54
5883074,Albanel,CA,48.88,-72.45,09/28/20,            75.2,64,75,5.82
3421719,Narsaq,GL,60.92,-46.05,09/28/20,            41,35,5,5.82
6690296,Saint-Joseph,RE,-21.37,55.62,09/28/20,            71.6,78,40,3.36
3573374,The Valley,AI,18.22,-63.06,09/28/20,            86.74,62,20,17.22
1492299,Shebalino,RU,51.29,85.68,09/28/20,            36.64,84,86,1.32
553766,Kamenka,RU,51.32,42.77,09/28/20,            53.53,41,38,11.03
2015852,Svetlaya,RU,46.54,138.33,09/28/20,            59.36,77,73,5.46
2126199,Cherskiy,RU,68.75,161.3,09/28/20,            40.87,69,93,15.64
935214,Saint-Pierre,RE,-21.34,55.48,09/28/20,            71.6,78,40,3.36
3516171,Barra de Tecoanapa,MX,16.52,-98.75,09/28/20,            88,61,87,6.73
1490256,Talnakh,RU,69.49,88.4,09/28/20,            32,95,75,11.18
935215,Saint-Philippe,RE,-21.36,55.77,09/28/20,            72.36,78,40,3.36
3994469,Ojinaga,MX,29.57,-104.42,09/28/20,            72.32,28,40,13.87
1735799,Sri Aman,MY,1.24,111.46,09/28/20,            77,100,100,0.31
2332515,Lafia,NG,8.48,8.52,09/28/20,            77.94,85,86,4.09
5282297,Bethel,US,41.37,-73.41,09/28/20,            73.53,73,75,12.75
2444995,Filingué,NE,14.35,3.32,09/28/20,            99.14,23,43,5.75
1637001,Biak,ID,-0.91,122.88,09/28/20,            74.86,79,95,4.18
2629833,Husavik,IS,66.04,-17.34,09/28/20,            44.6,56,20,5.82
780643,Bjørnevatn,NO,69.67,29.98,09/28/20,            50,87,75,21.92
893485,Chiredzi,ZW,-21.05,31.67,09/28/20,            71.69,71,35,2.08
3108317,Tarancón,ES,40.01,-3.01,09/28/20,            71.22,26,17,3.36
2208248,Kaitangata,NZ,-46.28,169.85,09/28/20,            34,81,73,13
608270,Shubarshi,KZ,48.59,57.19,09/28/20,            56.5,44,22,4.9
315498,Heraclea,TR,37.51,34.05,09/28/20,            67.19,32,0,4.16
2023298,Kalanguy,RU,51.02,116.52,09/28/20,            31.93,96,1,2.35
3665315,Anori,BR,-3.77,-61.64,09/28/20,            94.41,42,71,1.95
2152659,Port Macquarie,AU,-31.43,152.92,09/28/20,            47.97,93,8,1.01
593406,Varėna,LT,54.22,24.57,09/28/20,            50.65,81,1,4.7
212730,Kisangani,CD,0.52,25.2,09/28/20,            80.6,78,75,3.51
468747,Yashkul',RU,46.17,45.34,09/28/20,            58.5,49,96,14.83
3603998,Paptalaya,HN,15.5,-84.32,09/28/20,            87.8,74,40,9.17
1524606,Derzhavīnsk,KZ,51.1,66.32,09/28/20,            50.92,51,0,3.76
3421765,Nanortalik,GL,60.14,-45.24,09/28/20,            36.64,74,0,15.32
286245,Sur,OM,22.57,59.53,09/28/20,            83.73,59,0,9.33
5847411,Kahului,US,20.89,-156.47,09/28/20,            74.86,73,1,8.55
2377457,Nouadhibou,MR,20.93,-17.03,09/28/20,            77,69,0,24.16
3412093,Vestmannaeyjar,IS,63.44,-20.27,09/28/20,            44.6,81,75,16.11
876177,Luau,AO,-10.71,22.22,09/28/20,            74.59,63,97,5.77
3430443,Necochea,AR,-38.55,-58.74,09/28/20,            54,80,32,8.01
2411397,Georgetown,SH,-7.93,-14.42,09/28/20,            74.46,78,99,16.62
4013679,Coahuayana Viejo,MX,18.73,-103.68,09/28/20,            80.6,78,75,5.59
5563839,Fortuna,US,40.6,-124.16,09/28/20,            73.89,33,40,8.05
2439155,Tanout,NE,14.97,8.89,09/28/20,            97.68,16,64,6.38
2729907,Longyearbyen,SJ,78.22,15.64,09/28/20,            39.2,86,75,8.05
55671,Kismayo,SO,-0.36,42.55,09/28/20,            77.74,85,45,13.29
2136825,Isangel,VU,-19.55,169.27,09/28/20,            72.07,82,2,6.78
2092164,Lorengau,PG,-2.02,147.27,09/28/20,            80.35,78,96,7.38
2015306,Tiksi,RU,71.69,128.87,09/28/20,            31.15,93,70,18.48
515805,Oktyabr'skoye,RU,43.06,44.74,09/28/20,            59,77,75,6.71
5720495,Coos Bay,US,43.37,-124.22,09/28/20,            71.85,46,1,9.17
6137063,Sackville,CA,45.92,-64.38,09/28/20,            77.7,78,75,25.28
1847947,Shingū,JP,33.73,135.98,09/28/20,            67.44,85,98,6.49
4032243,Vaini,TO,-21.2,-175.2,09/28/20,            71.6,94,20,3.36
3471451,Arraial do Cabo,BR,-22.97,-42.03,09/28/20,            83.17,65,20,6.93
105298,Jizan,SA,17.33,42.67,09/28/20,            89.6,75,20,5.82
2013406,Vidim,RU,56.41,103.11,09/28/20,            37.31,89,55,5.37
1501377,Kungurtug,RU,50.6,97.52,09/28/20,            30.56,83,14,1.03
3382160,Cayenne,GF,4.93,-52.33,09/28/20,            89.6,59,87,17.22
